City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1568770,Quang Ngai,66,VN,1593362229,82,15.12,108.8,79.05,4.09
2168305,Dubbo,10,AU,1593362229,93,-32.25,148.62,41.0,9.17
2645198,Kirkwall,59,GB,1593362229,93,58.98,-2.96,55.4,12.75
4021858,Guerrero Negro,0,MX,1593362307,57,27.98,-114.06,74.3,5.93
3622716,Nicoya,75,CR,1593362308,59,10.15,-85.45,89.6,6.93
4115181,Hope,76,US,1593362229,67,33.67,-93.59,89.01,5.99
2016216,Sosnovo-Ozerskoye,85,RU,1593362230,96,52.52,111.54,54.32,6.8
3414079,Olafsvik,97,IS,1593362230,82,64.89,-23.71,54.81,7.83
2063056,Port Augusta,0,AU,1593362230,68,-32.5,137.77,42.01,6.93
3464724,Diamantino,8,BR,1593362000,40,-14.41,-56.45,87.64,4.61
3421319,Nuuk,20,GL,1593361713,61,64.18,-51.72,50.0,6.93
3455689,Ouro Branco,83,BR,1593362072,74,-20.52,-43.69,64.71,5.48
6111696,Port-Cartier,90,CA,1593362230,93,50.03,-66.87,57.99,12.75
6144312,Sept-Îles,90,CA,1593362174,93,50.2,-66.38,57.99,12.75
3083103,Trzebnica,20,PL,1593362231,94,51.31,17.06,75.99,2.24
293842,Kiryat Gat,0,IL,1593362231,67,31.61,34.76,82.99,5.93
3671497,Puerto Colombia,75,CO,1593362309,70,10.99,-74.95,87.8,6.93
1510689,Baykit,85,RU,1593362231,64,61.67,96.37,66.11,3.49
1150965,Ranong,86,TH,1593362069,82,9.97,98.63,80.67,8.01
2427336,Moussoro,54,TD,1593362231,29,13.64,16.49,97.32,9.93
3407762,Amapá,95,BR,1593362232,59,1.0,-52.0,87.31,4.7
57000,Hobyo,57,SO,1593362232,77,5.35,48.53,79.41,22.68
2175819,Biloela,22,AU,1593362232,87,-24.42,150.5,55.09,8.41
2037485,Erenhot,71,CN,1593362232,61,43.65,111.98,67.5,17.94
2068110,Kununurra,61,AU,1593362310,31,-15.77,128.73,59.0,2.24
3382160,Cayenne,72,GF,1593362310,94,4.93,-52.33,78.8,8.05
2126710,Beringovskiy,23,RU,1593362211,70,63.05,179.32,40.55,17.85
5134086,Rochester,75,US,1593361803,64,43.15,-77.62,77.0,10.29
1626493,Srandakan,58,ID,1593362233,87,-7.94,110.25,76.96,8.52
245785,Abéché,90,TD,1593362233,30,13.83,20.83,91.83,5.55
286245,Sur,0,OM,1593362233,68,22.57,59.53,87.3,16.24
933759,Ghanzi,0,BW,1593362233,42,-21.57,21.78,53.89,4.23
1734715,Marang,20,MY,1593361739,94,5.21,103.21,80.6,1.12
2098329,Daru,96,PG,1593362234,86,-9.08,143.21,77.74,15.75
2125906,Dukat,100,RU,1593361717,53,62.55,155.55,46.58,1.23
6100069,Peace River,90,CA,1593362234,82,56.25,-117.29,57.2,12.75
3175096,Laas,40,IT,1593362234,60,46.62,10.7,68.0,8.05
3628503,San Carlos,81,VE,1593362234,62,9.66,-68.58,86.36,5.99
4031637,Lavrentiya,53,RU,1593362312,78,65.58,-171.0,39.42,9.15
797213,Pervomayskoye,0,RU,1593362235,64,43.92,46.71,66.31,9.06
4984075,Alpena,1,US,1593362112,47,45.06,-83.43,80.6,6.67
1789065,Ankang,28,CN,1593362235,47,32.68,109.02,71.01,14.0
1337610,Thinadhoo,58,MV,1593362238,73,0.53,72.93,84.72,8.75
2629833,Husavik,20,IS,1593362204,82,66.04,-17.34,55.4,11.41
1516048,Khovd,1,MN,1593362313,29,48.01,91.64,70.66,4.61
1714733,Dingle,100,PH,1593362313,87,11.0,122.67,76.64,2.89
1734705,Kuala Terengganu,20,MY,1593361718,94,5.33,103.14,80.6,1.12
1625908,Sungai Raya,95,ID,1593362235,83,0.7,108.9,79.29,5.66
2189343,Kaeo,1,NZ,1593362313,3,-35.1,173.78,50.0,1.01
1571058,Phan Thiet,100,VN,1593362236,83,10.93,108.1,79.09,5.26
2033196,Zhangjiakou,85,CN,1593362237,71,40.81,114.88,68.18,2.24
5364271,Laguna,1,US,1593362171,67,38.42,-121.42,71.01,13.87
1521762,Kurchum,100,KZ,1593362237,40,48.57,83.65,61.34,5.77
1805680,Jingdezhen,100,CN,1593362237,84,29.29,117.21,78.94,4.0
1024552,Xai-Xai,3,MZ,1593362237,69,-25.05,33.64,70.72,17.29
1728675,Balabac,100,PH,1593362237,80,7.99,117.06,79.32,1.41
5905393,Bonavista,78,CA,1593362237,85,48.65,-53.11,57.11,11.99
1849154,Ushibukamachi,65,JP,1593362238,83,32.19,130.02,73.98,1.23
1733782,Labuan,75,MY,1593362238,88,5.28,115.24,80.6,1.12
6078359,Moosomin,100,CA,1593362238,94,50.13,-101.67,66.02,11.18
3943957,Chilca,90,PE,1593362238,82,-12.52,-76.74,62.6,2.24
5262634,Menomonie,1,US,1593362238,50,44.88,-91.92,82.0,10.29
575480,Bogovarovo,37,RU,1593362238,73,58.98,47.02,50.92,6.08
523392,Naryan-Mar,94,RU,1593362238,76,67.67,53.09,41.25,14.72
2618944,Kerteminde,97,DK,1593362071,75,55.45,10.66,69.01,17.85
3423146,Ilulissat,75,GL,1593362315,75,69.22,-51.1,42.8,5.82
7601762,Bairiki Village,20,KI,1593362239,74,1.33,172.98,82.4,11.41
2541479,Nador,0,MA,1593362239,57,35.17,-2.93,84.2,5.82
1328421,Pathein,44,MM,1593362239,87,16.78,94.73,76.64,2.53
3942259,Coracora,0,PE,1593362239,27,-15.03,-73.78,60.62,7.02
3361934,Saldanha,12,ZA,1593362225,72,-33.01,17.94,60.8,4.7
53654,Mogadishu,92,SO,1593362239,87,2.04,45.34,78.71,15.95
1278987,Allāpalli,99,IN,1593362239,83,19.42,80.07,80.47,1.39
3932145,Pisco,90,PE,1593362316,82,-13.7,-76.22,62.6,5.82
4686163,Dickinson,75,US,1593362222,70,29.46,-95.05,90.0,18.34
866062,Iskateley,93,RU,1593362240,76,67.68,53.15,41.05,14.72
3453060,Pontes e Lacerda,39,BR,1593362240,50,-15.23,-59.34,78.13,6.13
518619,Novaya Malykla,82,RU,1593362240,78,54.2,49.95,55.71,4.74
3386177,Trairi,0,BR,1593362316,61,-3.28,-39.27,85.6,13.38
1267390,Kavaratti,99,IN,1593362317,81,10.57,72.64,83.89,21.52
253666,Schisma Eloundas,0,GR,1593362240,61,35.27,25.72,84.0,14.99
3996426,Matamoros,40,MX,1593362241,47,25.53,-103.25,81.0,5.3
3928867,Sayán,21,PE,1593362241,32,-11.14,-77.19,77.36,8.59
347497,Tanta,0,EG,1593361986,60,30.79,31.0,78.71,11.34
1512223,Abalak,91,RU,1593362241,94,58.13,68.59,49.78,2.62
2036500,Jilin,58,CN,1593362241,77,43.0,126.0,61.65,4.47
2527087,Tiznit Province,0,MA,1593362241,35,29.58,-9.5,82.65,8.97
3402648,Carutapera,22,BR,1593362242,58,-1.2,-46.02,88.36,8.43
2140466,Moindou,0,NC,1593362318,93,-21.69,165.68,57.2,2.24
5352214,Gilroy,90,US,1593362208,72,37.01,-121.57,60.01,13.87
2291136,Bondoukou,40,CI,1593362242,76,8.03,-2.8,82.26,2.33
2065594,Mount Isa,0,AU,1593361725,50,-20.73,139.5,57.2,3.36
1223738,Weligama,85,LK,1593362242,84,5.97,80.42,81.23,10.49
1337619,Ugoofaaru,6,MV,1593362243,81,5.67,73.0,83.35,15.93
3435038,Dolores,34,AR,1593362243,59,-36.31,-57.68,50.34,5.75
1491519,Goryachegorsk,54,RU,1593362243,76,55.41,88.92,52.05,4.83
